row_num,id,data
15724,073C7ADD,Arts & Entertainment/Celebrities & Entertainment News_1
116,3EACD90C,Arts & Entertainment/Celebrities & Entertainment News_2
16534,08E8A953,Arts & Entertainment/Celebrities & Entertainment News_3
6507,6E2B1257,Arts & Entertainment/Celebrities & Entertainment News_4
19567,54E22A27,Arts & Entertainment/Celebrities & Entertainment News_5
9474,E98B851B,Arts & Entertainment/Celebrities & Entertainment News_6
5662,3A1A06FA,Arts & Entertainment/Celebrities & Entertainment News_7
3213,92D55F05,Arts & Entertainment/Celebrities & Entertainment News_8
474,E4366515,Arts & Entertainment/Celebrities & Entertainment News_9
19016,0F9CC2DA,Arts & Entertainment/Comics & Animation/Anime & Manga_1
14529,14D6D7DE,Arts & Entertainment/Comics & Animation/Anime & Manga_2
3431,8323E806,Arts & Entertainment/Comics & Animation/Anime & Manga_3
13543,AA47D01F,Arts & Entertainment/Comics & Animation/Anime & Manga_4
5216,6F8C000E,Arts & Entertainment/Comics & Animation/Anime & Manga_5
16892,725C3347,Arts & Entertainment/Comics & Animation/Anime & Manga_6
10503,A299281B,Arts & Entertainment/Comics & Animation/Anime & Manga_7
13445,2DADBA3B,Arts & Entertainment/Comics & Animation/Anime & Manga_8
10838,186491AE,Arts & Entertainment/Comics & Animation/Anime & Manga_9
16940,02A89B4B,Arts & Entertainment/Comics & Animation/Cartoons_1
11668,ECFC52F9,Arts & Entertainment/Comics & Animation/Cartoons_2
19107,06134F43,Arts & Entertainment/Comics & Animation/Cartoons_3
19020,C46112A5,Arts & Entertainment/Comics & Animation/Cartoons_4
1071,F5D4E7C6,Arts & Entertainment/Comics & Animation/Cartoons_5
19556,F0F83E14,Arts & Entertainment/Comics & Animation/Cartoons_6
19921,E7B8F0D1,Arts & Entertainment/Comics & Animation/Cartoons_7
4756,788ADFFB,Arts & Entertainment/Comics & Animation/Cartoons_8
969,D83ACA45,Arts & Entertainment/Comics & Animation/Cartoons_9
2243,8C25A210,Arts & Entertainment/Comics & Animation/Comics_1
848,F5DCD5E8,Arts & Entertainment/Comics & Animation/Comics_2
16028,326589E8,Arts & Entertainment/Comics & Animation/Comics_3
4094,8545BC4A,Arts & Entertainment/Comics & Animation/Comics_4
6031,969F4BF0,Arts & Entertainment/Comics & Animation/Comics_5
7271,C23ACFA0,Arts & Entertainment/Comics & Animation/Comics_6
18613,D25EEAAA,Arts & Entertainment/Comics & Animation/Comics_7
7974,61590B2A,Arts & Entertainment/Comics & Animation/Comics_8
11486,734AC1B9,Arts & Entertainment/Comics & Animation/Comics_9
2977,AD637275,Arts & Entertainment/Comics & Animation_1
10831,FB7F2A19,Arts & Entertainment/Comics & Animation_2
1601,0E7599F5,Arts & Entertainment/Comics & Animation_3
17970,353C7C29,Arts & Entertainment/Comics & Animation_4
8687,037F5E3F,Arts & Entertainment/Comics & Animation_5
9655,729A8E10,Arts & Entertainment/Comics & Animation_6
11124,8663FAB9,Arts & Entertainment/Comics & Animation_7
15659,D07DE5DA,Arts & Entertainment/Comics & Animation_8
46,FDD6BE51,Arts & Entertainment/Comics & Animation_9
15479,C86ADF05,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_1
18098,2F501EB6,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_2
8597,53AD06E0,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_3
9611,142F896E,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_4
5489,BA6715EE,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_5
3141,D8CD0555,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_6
977,86737DFE,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_7
8252,0BDE50AB,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_8
1801,AAB8199D,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards_9
74,4737C7D2,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_1
3230,EB6703EA,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_2
5824,84E45976,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_3
3905,A3AC21EB,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_4
16264,85081FD5,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_5
3236,1ACB546C,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_6
2162,9D7298BF,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_7
18346,74281D8A,Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production_8
